File 1  File 2  Percent Similarity
8	19	56.7426%
25	41	56.719%
28	36	56.699%
46	49	56.6075%
27	36	56.5812%
29	34	56.5731%
0	3	56.5591%
12	30	56.4486%
0	13	56.3441%
28	44	56.3107%
28	29	56.3107%
6	21	56.2617%
12	48	56.2617%
6	37	56.2617%
35	44	56.1905%
23	36	56.1644%
33	36	55.9913%
29	42	55.9823%
1	32	55.9792%
5	19	55.9223%
14	30	55.8763%
3	19	55.8669%
11	32	55.8185%
1	20	55.8059%
15	40	55.7576%
14	25	55.6701%
1	41	55.6326%
37	39	55.6114%
5	8	55.534%
5	52	55.534%
5	53	55.534%
22	52	55.4672%
22	53	55.4672%
15	34	55.3535%
15	49	55.3535%
33	35	55.3377%
23	49	55.1859%
2	24	55.1664%
8	24	55.1664%
15	44	55.1515%
9	34	55.0661%
27	46	55.0427%
11	18	55.0296%
5	35	54.9515%
15	17	54.9495%
44	51	54.9348%
7	19	54.8944%
2	51	54.8161%
8	51	54.8161%
7	47	54.7025%
28	31	54.5631%
28	38	54.5631%
5	11	54.5631%
20	38	54.5194%
30	40	54.4861%
9	42	54.4787%
22	49	54.4732%
33	38	54.4662%
3	20	54.4659%
11	41	54.4379%
28	35	54.3689%
28	30	54.3689%
9	20	54.3319%
2	38	54.2907%
8	38	54.2907%
0	18	54.1936%
5	40	54.1748%
16	45	54.1371%
3	29	54.1156%
2	32	54.1156%
8	32	54.1156%
24	34	54.1133%
48	49	54.0434%
6	36	54.0187%
6	35	54.0187%
5	25	53.9806%
18	40	53.9568%
7	11	53.9347%
7	36	53.9347%
16	24	53.9007%
30	51	53.8336%
6	45	53.8318%
2	39	53.7653%
8	39	53.7653%
25	30	53.7522%
6	19	53.4579%
16	19	53.4279%
29	30	53.3235%
28	39	53.2039%
20	29	53.0846%
39	51	53.0709%
15	37	52.9293%
